,sentence,values
51,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",0.86111
52,"( city ) reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this ' (  ) and ` analyze that , ' promised ( or threatened ) for later this year .",0.63889
53,the wanton slipperiness of \* corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,0.88889
54,"`` frailty '' starts out like a typical bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",0.80556
55,"for those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",0.8333299999999999
56,"it cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",0.81944
57,"a welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",0.66667
58,a crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` twilight zone '' episode .,0.77778
59,it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,0.65278
60,"opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",0.45833
61,"an uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",0.75
62,( the cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',0.77778
63,"a smart , steamy mix of road movie , coming-of-age story and political satire .",0.66667
64,the modern-day royals have nothing on these guys when it comes to scandals .,0.38889
65,it 's only in fairy tales that princesses that are married for political reason live happily ever after .,0.36111
66,"a terrific b movie -- in fact , the best in recent memory .",1.0
67,`` birthday girl '' is an actor 's movie first and foremost .,0.70833
68,i walked away from this new version of e.t. just as i hoped i would -- with moist eyes .,0.875
69,"for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",0.90278
70,what 's really so appealing about the characters is their resemblance to everyday children .,0.70833
71,"shamelessly resorting to pee-related sight gags that might even cause tom green a grimace ; still , myer 's energy and the silliness of it all eventually prevail",0.54167
72,an absurdist spider web .,0.36111
73,"if you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",0.63889
74,"this version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",0.55556
75,some movies blend together as they become distant memories .,0.44444
76,mention `` solaris '' five years from now and i 'm sure those who saw it will have an opinion to share .,0.66667
77,allen 's funniest and most likeable movie in years .,0.875
78,it 's a glorious spectacle like those d.w. griffith made in the early days of silent film .,0.80556
79,this comic gem is as delightful as it is derivative .,0.81944
80,"more timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders , desperate for work and food .",0.81944
81,"the leaping story line , shaped by director peter kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",0.625
82,"with three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",0.45833
83,"the production has been made with an enormous amount of affection , so we believe these characters love each other .",0.8333299999999999
84,certainly the performances are worthwhile .,0.72222
85,"winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",0.68056
86,watching these eccentrics is both inspiring and pure joy .,0.8472200000000001
87,steven spielberg brings us another masterpiece,0.98611
88,"finally , the french-produced `` read my lips '' is a movie that understands characters must come first .",0.73611
89,"ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .",0.80556
90,allen shows he can outgag any of those young whippersnappers making moving pictures today .,0.76389
91,"a good film with a solid pedigree both in front of and , more specifically , behind the camera .",0.79167
92,"by no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",0.23611
93,i encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !,0.875
94,a literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .,0.69444
95,high crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .,0.61111
96,if you 're a fan of the series you 'll love it and probably want to see it twice .,0.91667
97,i will be .,0.625
98,"it celebrates the group 's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his ` angels of light . '",0.72222
99,"the story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",0.80556
100,it is also a testament to the integrity and vision of the band .,0.75
101,"laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , no such thing is a fascinating little tale .",0.86111
102,"huppert 's show to steal and she makes a meal of it , channeling kathy baker 's creepy turn as the repressed mother on boston public just as much as  women 's augustine .",0.61111
103,nair does n't treat the issues lightly .,0.61111
104,she allows each character to confront their problems openly and honestly .,0.72222
105,"one of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",0.88889
106,the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,0.77778
107,strange occurrences build in the mind of the viewer and take on extreme urgency .,0.72222
108,"has a certain ghoulish fascination , and generates a fair amount of b-movie excitement .",0.68056
109,familiar but utterly delightful .,0.63889
110,"a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",0.76389
111,"the film aims to be funny , uplifting and moving , sometimes all at once .",0.69444
112,the extent to which it succeeds is impressive .,0.77778
113,"the film brilliantly shines on all the characters , as the direction is intelligently accomplished .",0.91667
114,"while not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy .",0.70833
115,"as broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism .",0.79167
116,"in addition to hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",0.88889
117,jeffrey tambor 's performance as the intelligent jazz-playing exterminator is oscar-worthy .,1.0
118,"from the opening strains of the average white band 's `` pick up the pieces '' , you can feel the love .",0.66667
119,stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,0.73611
120,that it 'll probably be the best and most mature comedy of the  summer season speaks more of the season than the picture,0.66667
121,"old people will love this movie , and i mean that in the nicest possible way : last orders will touch the heart of anyone old enough to have earned a -year friendship .",0.51389
122,meyjes ' provocative film might be called an example of the haphazardness of evil .,0.66667
123,tian emphasizes the isolation of these characters by confining color to liyan 's backyard .,0.55556
124,the movie is pretty funny now and then without in any way demeaning its subjects .,0.76389
125,imagine a scenario where bergman approaches swedish fatalism using gary larson 's far side humor,0.61111
126,"too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than pink floyd tickets .",0.76389
127,"it is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",0.91667
128,it 's not a great monster movie .,0.23611
129,"but if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",0.47222
130,chomp chomp !,0.5
131,the grey zone gives voice to a story that needs to be heard in the sea of holocaust movies ... but the film suffers from its own difficulties .,0.58333
132,"others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find morrison 's iconoclastic uses of technology to be liberating .",0.8333299999999999
133,"miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",0.70833
134,time out is existential drama without any of the pretension associated with the term .,0.69444
135,"it 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",0.70833
136,writer\/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,0.75
137,a movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .,0.59722
138,"it 's tough to watch , but it 's a fantastic movie .",0.80556
139,the best animated feature to hit theaters since beauty and the beast  years ago .,0.8333299999999999
140,what saves this deeply affecting film from being merely a collection of wrenching cases is corcuera 's attention to detail .,0.69444
141,pacino is the best he 's been in years and keener is marvelous .,0.88889
142,"a solid , spooky entertainment worthy of the price of a ticket .",0.75
143,"by turns fanciful , grisly and engagingly quixotic .",0.69444
144,"... very funny , very enjoyable ...",0.91667
145,adaptation is intricately constructed and in a strange way nails all of orlean 's themes without being a true adaptation of her book .,0.63889
146,so purely enjoyable that you might not even notice it 's a fairly straightforward remake of hollywood comedies such as father of the bride .,0.79167
147,moonlight mile gives itself the freedom to feel contradictory things .,0.79167
148,"it is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .",0.80556
149,"the real triumphs in igby come from philippe , who makes oliver far more interesting than the character 's lines would suggest , and sarandon , who could n't be better as a cruel but weirdly likable wasp matron .",0.77778
150,robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side .,0.63889
151,"if you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of unfaithful .",0.65278
152,australia : land beyond time is an enjoyable big movie primarily because australia is a weirdly beautiful place .,0.75
153,hoffman 's performance is authentic to the core of his being .,0.73611
154,told just proficiently enough to trounce its overly comfortable trappings .,0.69444
155,"an enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .",0.81944
156,the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .,0.8333299999999999
157,a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,0.81944
158,what could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .,0.75
159,duvall is strong as always .,0.81944
160,a no-holds-barred cinematic treat .,0.81944
161,you 'd have to be a most hard-hearted person not to be moved by this drama .,0.61111
162,allen 's underestimated charm delivers more goodies than lumps of coal .,0.66667
163,"measured against practically any like-themed film other than its oscar-sweeping franchise predecessor the silence of the lambs , red dragon rates as an exceptional thriller .",0.86111
164,an exhilarating serving of movie fluff .,0.5
165,"maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .",0.8333299999999999
166,it makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,0.77778
167,"dark and disturbing , yet compelling to watch .",0.41667
168,"too often , son of the bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''",0.30556
169,"the picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .",0.77778
170,a solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy .,0.54167
171,a terrific insider look at the star-making machinery of tinseltown .,0.76389
172,it 's a diverting enough hour-and-a-half for the family audience .,0.63889
173,a party-hearty teen flick that scalds like acid .,0.30556
174,as giddy and whimsical and relevant today as it was  years ago .,0.90278
175,the film offers an intriguing what-if premise .,0.8333299999999999
176,the pianist is the film roman polanski may have been born to make .,0.75
177,this version does justice both to stevenson and to the sci-fi genre .,0.69444
178,poignant and delicately complex .,0.73611
179,"enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .",0.79167
180,cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want ... but it 's still damn funny stuff .,0.73611
181,"in the pianist , polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .",0.72222
182,"despite the film 's shortcomings , the stories are quietly moving .",0.70833
183,"those who love cinema paradiso will find the new scenes interesting , but few will find the movie improved .",0.5
184,"if you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .",0.79167
185,this bracingly truthful antidote to hollywood teenage movies that slather clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .,0.79167
186,the reason to see `` sade '' lay with the chemistry and complex relationship between the marquis ( auteil ) and emilie ( le besco ) .,0.59722
187,it 's the filmmakers ' post-camp comprehension of what made old-time b movies good-bad that makes eight legged freaks a perfectly entertaining summer diversion .,0.66667
188,"the film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .",0.72222
189,"... best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the warren report .",0.54167
190,"it has its faults , but it is a kind , unapologetic , sweetheart of a movie , and mandy moore leaves a positive impression .",0.66667
191,"the saigon of  is an uneasy mix of sensual delights and simmering violence , and the quiet american brings us right into the center of that world .",0.70833
192,"despite its shortcomings , girls ca n't swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the french coming-of-age genre .",0.66667
193,"flawed , but worth seeing for ambrose 's performance .",0.48611
194,"with dirty deeds , david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",0.81944
195,the humor and humanity of monsoon wedding are in perfect balance .,0.65278
196,"lookin ' for sin , american-style ?",0.375
197,"try hell house , which documents the cautionary christian spook-a-rama of the same name .",0.48611
198,a compelling motion picture that illustrates an american tragedy .,0.81944
199,"as comedic spotlights go , notorious c.h.o. hits all the verbal marks it should .",0.72222
200,it 's a day at the beach -- with air conditioning and popcorn .,0.63889
201,frida is n't that much different from many a hollywood romance .,0.33333
202,"what sets it apart is the vision that taymor , the avant garde director of broadway 's the lion king and the film titus , brings .",0.70833
203,"stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",0.8472200000000001
204,"extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .",0.91667
205,the film exudes the urbane sweetness that woody allen seems to have bitterly forsaken .,0.625
206,"k- : the widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining .",0.625
207,"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",0.61111
208,"cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of miramax chief harvey weinstein 's bluff personal style to the stylistic rigors of denmark 's dogma movement .",0.73611
209,it 's a rare window on an artistic collaboration .,0.75
210,"... begins with promise , but runs aground after being snared in its own tangled plot .",0.30556
211,perhaps the best sports movie i 've ever seen .,1.0
212,cho 's timing is priceless .,0.86111
213,"... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , lifetime channel-style anthology .",0.4305600000000001
214,"a sensitive , moving , brilliantly constructed work .",0.88889
215,an edgy thriller that delivers a surprising punch .,0.79167
216,a reasonably entertaining sequel to  's surprise family hit that may strain adult credibility .,0.75
217,( reno ) delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,0.79167
218,there is truth here,0.66667
219,"a confident , richly acted , emotionally devastating piece of work and  's first great film",0.86111
220,"a touching , small-scale story of family responsibility and care in the community .",0.69444
221,arteta directs one of the best ensemble casts of the year,0.8333299999999999
222,the casting of von sydow ... is itself intacto 's luckiest stroke .,0.68056
223,"no , it 's not as single-minded as john carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels .",0.79167
224,"a gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .",0.80556
225,"stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .",0.86111
226,"... the first \/ of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ...",0.8333299999999999
227,this movie got me grinning .,0.77778
228,there 's a part of us that can not help be entertained by the sight of someone getting away with something .,0.69444
229,an old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .,0.68056
230,"what 's not to like about a movie with a ` children 's ' song that includes the line ` my stepdad 's not mean , he 's just adjusting ' ?",0.72222
231,"this english-language version ... does full honor to miyazaki 's teeming and often unsettling landscape , and to the conflicted complexity of his characters .",0.58333
232,the pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .,0.69444
233,"not everyone will welcome or accept the trials of henry kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .",0.65278
234,"there are no special effects , and no hollywood endings .",0.61111
235,"like the original , this version is raised a few notches above kiddie fantasy pablum by allen 's astringent wit .",0.72222
236,"despite its hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` lilo '' could have been pulled from a tear-stained vintage shirley temple script .",0.27778
237,a brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,0.44444
238,"filled with honest performances and exceptional detail , baran is a gentle film with dramatic punch , a haunting ode to humanity .",0.88889
239,"sparkles in its deft portrait of tinseltown 's seasoned veterans of gossip , wealth , paranoia , and celebrityhood .",0.51389
240,"in its dry and forceful way , it delivers the same message as jiri menzel 's closely watched trains and danis tanovic 's no man 's land .",0.68056
241,... a triumph of emotionally and narratively complex filmmaking .,0.8472200000000001
242,( haynes ' ) homage to such films as `` all that heaven allows '' and `` imitation of life '' transcends them .,0.56944
243,"simply put , `` far from heaven '' is a masterpiece .",0.91667
244,an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .,0.69444
245,"although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up catholic or , really , anything .",0.29167
246,proves mainly that south korean filmmakers can make undemanding action movies with all the alacrity of their hollywood counterparts .,0.54167
247,a very funny romantic comedy about two skittish new york middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,0.75
248,top-notch action powers this romantic drama .,0.90278
249,beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .,0.625
250,"it really is a shame that more wo n't get an opportunity to embrace small , sweet ` evelyn . '",0.66667
251,"i stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .",0.8472200000000001
252,probably the best case for christianity since chesterton and lewis .,0.66667
253,"a gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative hollywood practices .",0.77778
254,"would be an unendurable viewing experience for this ultra-provincial new yorker if -year-old reese witherspoon were not on hand to inject her pure fantasy character , melanie carmichael , with a massive infusion of old-fashioned hollywood magic .",0.66667
255,"visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .",0.70833
256,a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,0.625
257,schã¼tte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close .,0.63889
258,"a slick , engrossing melodrama .",0.88889
259,"s1m0ne 's satire is not subtle , but it is effective .",0.66667
260,"it 's a quirky , off-beat project .",0.66667
261,"while some will object to the idea of a vietnam picture with such a rah-rah , patriotic tone , soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .",0.31944
262,"even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st century .",0.73611
263,the solid filmmaking and convincing characters makes this a high water mark for this genre .,1.0
264,"films about loss , grief and recovery are pretty valuable these days .",0.77778
265,"seen in that light , moonlight mile should strike a nerve in many .",0.73611
266,"it 's endlessly inventive , consistently intelligent and sickeningly savage .",0.875
267,it is definitely worth seeing .,0.91667
268,an impeccable study in perversity .,0.66667
269,"far from heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .",0.72222
270,"a movie that both thrills the eye and , in its over-the-top way , touches the heart .",0.80556
271,"stuffed to the brim with ideas , american instigator michael moore 's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",0.72222
272,"affectionately reminds us that , in any language , the huge stuff in life can usually be traced back to the little things .",0.61111
273,"a drama of great power , yet some members of the audience will leave the theater believing they have seen a comedy .",0.59722
274,"the large-frame imax camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers .",0.93056
275,"the result is more depressing than liberating , but it 's never boring .",0.4305600000000001
276,a story about intelligent high school students that deals with first love sweetly but also seriously .,0.66667
277,it is also beautifully acted .,0.8333299999999999
278,"it is n't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .",0.59722
279,"same song , second verse , coulda been better , but it coulda been worse .",0.5
280,"it 's a technically superb film , shining with all the usual spielberg flair , expertly utilizing the talents of his top-notch creative team .",0.98611
281,"wilco fans will have a great time , and the movie should win the band a few new converts , too .",0.76389
282,"tsai has a well-deserved reputation as one of the cinema world 's great visual stylists , and in this film , every shot enhances the excellent performances .",0.77778
283,the date movie that franz kafka would have made .,0.47222
284,"the fact is that the screen is most alive when it seems most likely that broomfield 's interviewees , or even himself , will not be for much longer .",0.69444
285,leguizamo and jones are both excellent and the rest of the cast is uniformly superb .,0.875
286,i liked this film a lot ...,0.79167
287,... there is enough originality in ` life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,0.73611
288,a solid and refined piece of moviemaking imbued with passion and attitude .,0.93056
289,"nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .",0.73611
290,"with or without the sex , a wonderful tale of love and destiny , told well by a master storyteller",0.93056
291,"on the surface a silly comedy , scotland , pa would be forgettable if it were n't such a clever adaptation of the bard 's tragic play .",0.63889
292,"a weird , arresting little ride .",0.72222
293,"a fine film , but it would be a lot better if it stuck to betty fisher and left out the other stories .",0.4305600000000001
294,"a first-class road movie that proves you can run away from home , but your ego and all your problems go with you .",0.88889
295,"you might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead .",0.29167
296,well cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin .,0.88889
297,a backstage must-see for true fans of comedy .,0.8472200000000001
298,"there 's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",0.66667
299,"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from paul 's perspective .",0.66667
300,"jones ... makes a great impression as the writer-director of this little $ . million charmer , which may not be cutting-edge indie filmmaking but has a huge heart .",0.91667
301,"in the disturbingly involving family dysfunctional drama how i killed my father , french director anne fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition",0.63889
302,"below may not mark mr. twohy 's emergence into the mainstream , but his promise remains undiminished .",0.72222
303,there 's no reason to miss interview with the assassin,0.80556
304,happily stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music .,0.80556
305,its sheer dynamism is infectious .,0.66667
306,"for his first attempt at film noir , spielberg presents a fascinating but flawed look at the near future .",0.63889
307,it somehow managed to make its way past my crappola radar and find a small place in my heart,0.59722
308,"perhaps it 's cliche to call the film ` refreshing , ' but it is .",0.80556
309,"` drumline ' shows a level of young , black manhood that is funny , touching , smart and complicated .",0.875
310,"it does give a taste of the burning man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity .",0.66667
311,the limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .,0.54167
312,"the movie is well done , but slow .",0.38889
313,"( a ) wonderfully loopy tale of love , longing , and voting .",0.80556
314,"the fascination comes in the power of the huston performance , which seems so larger than life and yet so fragile , and in the way the ivan character accepts the news of his illness so quickly but still finds himself unable to react .",0.70833
315,"the last scenes of the film are anguished , bitter and truthful .",0.76389
316,mr. koshashvili is a director to watch .,0.8333299999999999
317,predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell .,0.63889
318,"antwone fisher certainly does the trick of making us care about its protagonist and celebrate his victories but , with few exceptions , it rarely stoops to cheap manipulation or corny conventions to do it .",0.69444
