,sentence_index,sentence,splitset_label,id,values
25,468,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",1,227377,0.51389
26,473,The actors are fantastic .,1,226186,0.94444
27,474,They are what makes it worth the trip to the theatre .,1,226613,0.72222
28,486,"( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",1,221083,0.93056
29,487,This is n't a new idea .,1,226662,0.33333
30,488,It 's been done before but never so vividly or with so much passion .,1,224166,0.81944
31,514,( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,1,221097,0.77778
32,584,"It 's not life-affirming -- its vulgar and mean , but I liked it .",1,224218,0.56944
33,670,What `` Empire '' lacks in depth it makes up for with its heart .,1,227043,0.73611
34,692,"Light , silly , photographed with colour and depth , and rather a good time .",1,224612,0.86111
35,702,But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,1,222829,0.68056
36,703,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,1,225061,0.73611
37,704,Their computer-animated faces are very expressive .,1,226551,0.72222
38,705,"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",1,226410,0.54167
39,742,"... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )",1,221838,0.68056
40,748,There 's an energy to Y Tu MamÃ¡ TambiÃ©n .,1,226565,0.76389
41,749,"Much of it comes from the brave , uninhibited performances by its lead actors .",1,225056,0.8333299999999999
42,840,"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",1,227404,0.40278
43,893,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,1,227419,0.65278
44,894,"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",1,223903,0.52778
45,896,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',1,221789,0.16667
46,897,"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",1,230759,0.77778
47,1112,`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',1,227459,0.61111
48,1153,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,1,224693,0.375
49,1154,"But believe it or not , it 's one of the most beautiful , evocative works I 've seen .",1,222734,0.94444
50,1215,"GarcÃ­a Bernal and TalancÃ³n are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .",1,223468,0.75
51,1241,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",1,221790,0.86111
52,1256,"( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .",1,221054,0.63889
53,1274,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,1,226542,0.88889
54,1482,"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",1,227490,0.80556
55,1489,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",1,223413,0.8333299999999999
56,1588,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",1,224276,0.81944
57,1671,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",1,44339,0.66667
58,1672,A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .,1,221971,0.77778
59,1673,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,1,45790,0.65278
60,1674,"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",1,46441,0.45833
61,1675,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",1,222320,0.75
62,1676,( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',1,43432,0.77778
63,1677,"A smart , steamy mix of road movie , coming-of-age story and political satire .",1,44255,0.66667
64,1678,The modern-day royals have nothing on these guys when it comes to scandals .,1,47158,0.38889
65,1679,It 's only in fairy tales that princesses that are married for political reason live happily ever after .,1,45749,0.36111
66,1680,"A terrific B movie -- in fact , the best in recent memory .",1,44303,1.0
67,1681,`` Birthday Girl '' is an actor 's movie first and foremost .,1,227443,0.70833
68,1682,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,1,223863,0.875
69,1683,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",1,45277,0.9027799999999999
70,1684,What 's really so appealing about the characters is their resemblance to everyday children .,1,47582,0.70833
71,1685,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail",1,46723,0.54167
72,1686,An absurdist spider web .,1,44456,0.36111
73,1687,"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",1,45621,0.63889
74,1688,"This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",1,47405,0.55556
75,1689,Some movies blend together as they become distant memories .,1,225872,0.44443999999999995
76,1690,Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .,1,224781,0.66667
77,1691,Allen 's funniest and most likeable movie in years .,1,44403,0.875
78,1692,It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,1,224123,0.80556
79,1693,This comic gem is as delightful as it is derivative .,1,47350,0.81944
80,1694,"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",1,46220,0.81944
81,1695,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",1,47140,0.625
82,1696,"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",1,47664,0.45833
83,1697,"The production has been made with an enormous amount of affection , so we believe these characters love each other .",1,47226,0.8333299999999999
84,1698,Certainly the performances are worthwhile .,1,44870,0.72222
85,1699,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",1,47646,0.68056
86,1700,Watching these eccentrics is both inspiring and pure joy .,1,47567,0.8472200000000001
87,1701,Steven Spielberg brings us another masterpiece,1,46812,0.98611
88,1702,"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .",1,223369,0.73611
89,1703,"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .",1,225043,0.80556
90,1704,Allen shows he can outgag any of those young whippersnappers making moving pictures today .,1,44406,0.76389
91,1705,"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",1,44104,0.79167
92,1706,"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",1,44820,0.23611
93,1707,I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !,1,45569,0.875
94,1708,A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .,1,44149,0.69444
95,1709,High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .,1,45490,0.61111
96,1710,If you 're a fan of the series you 'll love it and probably want to see it twice .,1,45618,0.9166700000000001
97,1711,I will be .,1,45597,0.625
98,1712,"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",1,45774,0.72222
99,1713,"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",1,226490,0.80556
100,1714,It is also a testament to the integrity and vision of the band .,1,45807,0.75
101,1715,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",1,45974,0.86111
102,1716,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",1,45540,0.61111
103,1717,Nair does n't treat the issues lightly .,1,46298,0.61111
104,1718,She allows each character to confront their problems openly and honestly .,1,46728,0.72222
105,1719,"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",1,46421,0.88889
106,1720,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,1,226549,0.77778
107,1721,Strange occurrences build in the mind of the viewer and take on extreme urgency .,1,225980,0.72222
108,1722,"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .",1,45448,0.68056
109,1723,Familiar but utterly delightful .,1,45212,0.63889
110,1724,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",1,44066,0.76389
111,1725,"The film aims to be funny , uplifting and moving , sometimes all at once .",1,226262,0.69444
112,1726,The extent to which it succeeds is impressive .,1,226241,0.77778
113,1727,"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",1,47052,0.9166700000000001
114,1728,"While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .",1,47626,0.70833
115,1729,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",1,44579,0.79167
116,1730,"In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",1,45653,0.88889
117,1731,Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,1,45888,1.0
118,1732,"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .",1,223437,0.66667
119,1733,Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,1,46815,0.73611
120,1734,that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,1,57814,0.66667
121,1735,"Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .",1,46388,0.51389
122,1736,Meyjes ' provocative film might be called an example of the haphazardness of evil .,1,46169,0.66667
123,1737,Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .,1,47429,0.55556
124,1738,The movie is pretty funny now and then without in any way demeaning its subjects .,1,47178,0.76389
125,1739,imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor,1,52834,0.61111
126,1740,"Too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than Pink Floyd tickets .",1,47450,0.76389
127,1741,"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",1,45816,0.9166700000000001
128,1742,It 's not a great monster movie .,1,45744,0.23611
129,1743,"But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",1,222753,0.47222
130,1744,Chomp chomp !,1,222929,0.5
131,1745,The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,1,226114,0.58333
132,1746,"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .",1,46460,0.8333299999999999
133,1747,"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",1,46186,0.70833
134,1748,Time Out is existential drama without any of the pretension associated with the term .,1,47430,0.69444
135,1749,"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",1,45726,0.70833
136,1750,Writer\/director Alexander Payne ( Election ) and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .,1,47700,0.75
137,1751,A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .,1,44170,0.59722
138,1752,"It 's tough to watch , but it 's a fantastic movie .",1,45764,0.80556
139,1753,The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,1,46981,0.8333299999999999
140,1754,What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .,1,47600,0.69444
141,1755,Pacino is the best he 's been in years and Keener is marvelous .,1,46470,0.88889
142,1756,"A solid , spooky entertainment worthy of the price of a ticket .",1,44260,0.75
143,1757,"By turns fanciful , grisly and engagingly quixotic .",1,44825,0.69444
144,1758,"... very funny , very enjoyable ...",1,43872,0.9166700000000001
145,1759,Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .,1,44366,0.63889
146,1760,So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,1,46751,0.79167
147,1761,Moonlight Mile gives itself the freedom to feel contradictory things .,1,46204,0.79167
148,1762,"It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .",1,45819,0.80556
149,1763,"The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .",1,47237,0.77778
150,1764,Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .,1,225639,0.63889
151,1765,"If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .",1,45629,0.65278
152,1766,Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .,1,44620,0.75
153,1767,Hoffman 's performance is authentic to the core of his being .,1,45502,0.73611
154,1768,Told just proficiently enough to trounce its overly comfortable trappings .,1,47438,0.69444
155,1769,"An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .",1,44483,0.81944
156,1770,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .,1,47231,0.8333299999999999
157,1771,A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,1,43985,0.81944
158,1772,What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .,1,47596,0.75
159,1773,Duvall is strong as always .,1,45104,0.81944
160,1774,A no-holds-barred cinematic treat .,1,44190,0.81944
161,1775,You 'd have to be a most hard-hearted person not to be moved by this drama .,1,47727,0.61111
162,1776,Allen 's underestimated charm delivers more goodies than lumps of coal .,1,44405,0.66667
163,1777,"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller .",1,46135,0.86111
164,1778,An exhilarating serving of movie fluff .,1,44490,0.5
165,1779,"Maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .",1,46072,0.8333299999999999
166,1780,It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,1,45825,0.77778
167,1781,"Dark and disturbing , yet compelling to watch .",1,45001,0.41667
168,1782,"Too often , Son of the Bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''",1,226791,0.30556
169,1783,"The picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .",1,47209,0.77778
170,1784,A solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy .,1,44269,0.54167
171,1785,A terrific insider look at the star-making machinery of tinseltown .,1,44305,0.76389
172,1786,It 's a diverting enough hour-and-a-half for the family audience .,1,45712,0.63889
173,1787,A party-hearty teen flick that scalds like acid .,1,44194,0.30556
174,1788,As giddy and whimsical and relevant today as it was 270 years ago .,1,44583,0.9027799999999999
175,1789,The film offers an intriguing what-if premise .,1,47084,0.8333299999999999
176,1790,The Pianist is the film Roman Polanski may have been born to make .,1,46932,0.75
177,1791,This version does justice both to Stevenson and to the sci-fi genre .,1,47404,0.69444
178,1792,Poignant and delicately complex .,1,46533,0.73611
179,1793,"Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .",1,45149,0.79167
180,1794,Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .,1,44913,0.73611
181,1795,"In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .",1,45651,0.72222
182,1796,"Despite the film 's shortcomings , the stories are quietly moving .",1,45058,0.70833
183,1797,"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .",1,47414,0.5
184,1798,"If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .",1,45633,0.79167
185,1799,This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .,1,47346,0.79167
186,1800,The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis ( Auteil ) and Emilie ( Le Besco ) .,1,226460,0.59722
187,1801,It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .,1,45757,0.66667
188,1802,"The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .",1,47049,0.72222
189,1803,"... best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the Warren Report .",1,43857,0.54167
190,1804,"It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .",1,45789,0.66667
191,1805,"The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .",1,46955,0.70833
192,1806,"Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .",1,45052,0.66667
193,1807,"Flawed , but worth seeing for Ambrose 's performance .",1,45267,0.48611000000000004
194,1808,"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",1,47650,0.81944
195,1809,The humor and humanity of Monsoon Wedding are in perfect balance .,1,47119,0.65278
196,1810,"Lookin ' for sin , American-style ?",1,46043,0.375
197,1811,"Try Hell House , which documents the cautionary Christian spook-a-rama of the same name .",1,47479,0.48611000000000004
198,1812,A compelling motion picture that illustrates an American tragedy .,1,44013,0.81944
199,1813,"As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .",1,222450,0.72222
200,1814,It 's a day at the beach -- with air conditioning and popcorn .,1,45706,0.63889
201,1815,Frida is n't that much different from many a Hollywood romance .,1,223430,0.33333
202,1816,"What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .",1,227061,0.70833
203,1817,"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",1,46820,0.8472200000000001
204,1818,"Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .",1,45208,0.9166700000000001
205,1819,The film exudes the urbane sweetness that Woody Allen seems to have bitterly forsaken .,1,47053,0.625
206,1820,"K-19 : The Widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining .",1,45925,0.625
207,1821,"It 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",1,45734,0.61111
208,1822,"Cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein 's bluff personal style to the stylistic rigors of Denmark 's Dogma movement .",1,44926,0.73611
209,1823,It 's a rare window on an artistic collaboration .,1,45718,0.75
210,1824,"... begins with promise , but runs aground after being snared in its own tangled plot .",1,43856,0.30556
211,1825,Perhaps the best sports movie I 've ever seen .,1,46501,1.0
212,1826,Cho 's timing is priceless .,1,44915,0.86111
213,1827,"... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , Lifetime Channel-style anthology .",1,43859,0.43056000000000005
214,1828,"A sensitive , moving , brilliantly constructed work .",1,44237,0.88889
215,1829,An edgy thriller that delivers a surprising punch .,1,44466,0.79167
216,1830,A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .,1,44221,0.75
217,1831,( Reno ) delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,1,43427,0.79167
218,1832,there is truth here,1,58923,0.66667
219,1833,"a confident , richly acted , emotionally devastating piece of work and 2002 's first great film",1,47894,0.86111
220,1834,"A touching , small-scale story of family responsibility and care in the community .",1,44320,0.69444
221,1835,Arteta directs one of the best ensemble casts of the year,1,44568,0.8333299999999999
222,1836,The casting of von Sydow ... is itself Intacto 's luckiest stroke .,1,46994,0.68056
223,1837,"No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels .",1,46332,0.79167
224,1838,"A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .",1,44086,0.80556
225,1839,"Stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .",1,46793,0.86111
226,1840,"... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ...",1,221840,0.8333299999999999
227,1841,This movie got me grinning .,1,226683,0.77778
228,1842,There 's a part of us that can not help be entertained by the sight of someone getting away with something .,1,226561,0.69444
229,1843,An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .,1,44529,0.68056
230,1844,"What 's not to like about a movie with a ` children 's ' song that includes the line ` My stepdad 's not mean , he 's just adjusting ' ?",1,47580,0.72222
231,1845,"This English-language version ... does full honor to Miyazaki 's teeming and often unsettling landscape , and to the conflicted complexity of his characters .",1,47333,0.58333
232,1846,The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .,1,47216,0.69444
233,1847,"Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .",1,46354,0.65278
234,1848,"There are no special effects , and no Hollywood endings .",1,47316,0.61111
235,1849,"Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen 's astringent wit .",1,46025,0.72222
236,1850,"Despite its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` Lilo '' could have been pulled from a tear-stained vintage Shirley Temple script .",1,223117,0.27778
237,1851,A brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,1,43978,0.44443999999999995
238,1852,"Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .",1,45244,0.88889
239,1853,"Sparkles in its deft portrait of Tinseltown 's seasoned veterans of gossip , wealth , paranoia , and celebrityhood .",1,46779,0.51389
240,1854,"In its dry and forceful way , it delivers the same message as Jiri Menzel 's Closely Watched Trains and Danis Tanovic 's No Man 's Land .",1,45659,0.68056
241,1855,... a triumph of emotionally and narratively complex filmmaking .,1,43853,0.8472200000000001
242,1856,( Haynes ' ) homage to such films as `` All That Heaven Allows '' and `` Imitation of Life '' transcends them .,1,221069,0.56944
243,1857,"Simply put , `` Far From Heaven '' is a masterpiece .",1,225792,0.9166700000000001
244,1858,An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .,1,44511,0.69444
245,1859,"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",1,44416,0.29167
246,1860,Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .,1,46559,0.54167
247,1861,A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,1,44330,0.75
248,1862,Top-notch action powers this romantic drama .,1,47456,0.9027799999999999
249,1863,Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .,1,222588,0.625
250,1864,"It really is a shame that more wo n't get an opportunity to embrace small , sweet ` Evelyn . '",1,224387,0.66667
251,1865,"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .",1,45593,0.8472200000000001
252,1866,Probably the best case for Christianity since Chesterton and Lewis .,1,46557,0.66667
253,1867,"A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .",1,44092,0.77778
254,1868,"Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .",1,47683,0.66667
255,1869,"Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .",1,47539,0.70833
256,1870,A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1,44153,0.625
